row_id,b0,b1,b2,b3,b4,raw_val
0,0.6866005977122969,0.8325621674264077,0.34836305973281917,0.20130353495697453,0.09245684394570851,0|0|1|1|0|1|1|1|0|0|214.3133333
1,0.5270782044349928,0.25233688211588157,0.17915591611307843,0.07178932026847022,0.06802826161706978,1|0|1|0|1|0|1|1|1|0|239.32
2,0.22963306203627062,0.20832432514078708,0.17004459630830038,0.11227729178928798,0.03609503955474637,1|1|0|1|1|1|1|0|1|1|250.48
3,0.6819855363137391,0.6608239841448083,0.49787764670590573,0.3030115628196282,0.1803819081062525,0|0|0|1|0|0|1|1|1|1|215.0266667
4,0.5966446000529434,0.2185430314147675,0.20447253482403838,0.12145484452026331,0.12736633486205748,1|0|1|1|0|0|1|0|1|0|235.9733333
5,0.7888665433279474,0.8171147016463427,0.5693403472623362,0.57186330272843,0.597169135577668,0|0|0|1|0|0|0|0|1|0|199.6833333
6,0.5093709924440623,0.4457273534362204,0.21814652913132743,0.10432182106432591,0.06461704952563892,0|0|1|1|0|1|0|1|1|1|259.5
7,0.5966446000529434,0.2185430314147675,0.24256285677404363,0.20138072231553505,0.16190734380022442,1|0|1|1|0|0|1|0|0|0|239.5633333
8,0.6531629438056631,0.8325621674264077,0.34836305973281917,0.20130353495697453,0.09400737433433824,0|0|1|1|0|1|1|0|0|0|211.59
9,0.26134949002940683,0.22264704420061618,0.14208822315513683,0.11234565444510872,0.05216603668007201,1|1|0|1|0|0|0|0|1|1|247.8033333
10,0.5471525403883555,0.2867670014899669,0.25838292888182185,0.18006096343058622,0.15514396776347075,1|0|1|0|0|1|0|0|0|0|239.9766667
11,0.5644622996860269,0.23117451526141206,0.24089436581804993,0.20138072231553505,0.16958724868167419,1|0|1|0|0|0|1|0|0|0|238.62
12,0.6121382984213954,0.8408614305847742,0.34836305973281917,0.1224061935237579,0.06391573003197863,0|0|1|1|1|1|0|1|0|0|213.4066667
13,0.5839364752574989,0.8408614305847742,0.34836305973281917,0.1224061935237579,0.06651629098007239,0|0|1|1|1|1|0|0|0|0|217.4666667
14,0.30895212699914615,0.29152489635168644,0.09811020997148187,0.10420110631196827,0.07294907019264796,0|1|1|1|0|0|0|1|0|1|248.1866667
15,0.28979359484774936,0.2753881133036539,0.11038977194357578,0.09247253657712728,0.03912496656464829,1|1|0|1|0|1|0|1|0|1|249.4366667
16,0.6606898330959483,0.910662285640519,0.6099169550451846,0.5113367275671916,0.46358015739336045,0|0|0|1|1|0|1|0|1|0|201.9733333
