row_id,b0,b1,b2,b3,b4,raw_val
0,0.5452876856384493,0.3728390257634633,0.10369940214031323,0.0027232670427042973,0.0027232670427042973,2|15|3|10.58402294|8.346562042
1,0.3808925195210734,0.2791726735656322,0.1439501856491655,0.014784547254394863,0.014784547254394863,3|35|3|11.82296909|11.46040144
2,0.14111113205017733,0.0989803744641803,0.07213426927536426,0.02127026001622892,0.02127026001622892,6|35|4|14.76647715|12.44172061
3,0.5621843415129298,0.33795282899775536,0.06841576795668362,0.0028434349110018227,0.0028434349110018227,1|1|5|7.087462841|3.866651431
4,0.22213500371314907,0.2792666708120926,0.17628632641837128,0.08888878209166945,0.08888878209166945,7|2|5|13.31797782|7.558295565
5,0.22630030185331143,0.20202531590119324,0.14637635975568108,0.003957445590636787,0.003957445590636787,5|14|4|13.20579325|10.46604202
6,0.19109771597905176,0.16033460459664198,0.05509418823938741,0.0067214840000727515,0.0067214840000727515,7|22|3|15.29271705|11.68343715
7,0.5347044014407022,0.30915395799084977,0.08219387579951472,0.002575594236472309,0.002575594236472309,1|14|4|9.818582177|7.226333592
8,0.5431860245988153,0.48499957849715486,0.10369940214031323,0.0027232670427042973,0.0027232670427042973,2|7|3|10.10983065|7.761616662
9,0.5488677296515702,0.34563313353963526,0.1537743320729842,0.019114860481606308,0.019114860481606308,2|25|3|10.99929539|9.72844524
10,0.3808925195210734,0.2791726735656322,0.15923339644899417,0.019480396186044826,0.019480396186044826,3|35|4|12.12250448|11.53122277
11,0.22630030185331143,0.21182375368772582,0.11215475451377903,0.04152180059289872,0.04152180059289872,6|14|4|14.0535017|10.93421264
12,0.22630030185331143,0.20236535546157094,0.20662022322117116,0.00798928916004788,0.00798928916004788,5|16|5|13.82545572|10.22386568
13,0.22213500371314907,0.28079669112174344,0.12314377972246818,0.01593589938165038,0.01593589938165038,8|7|4|14.86186234|10.54260113
14,0.14111113205017733,0.0989803744641803,0.04734685949942708,0.0067214840000727515,0.0067214840000727515,7|35|3|15.48116875|13.65268358
15,0.6871359396968753,0.36911816301269285,0.0846651563897423,0.007118909915797237,0.007118909915797237,1|32|5|11.03960452|8.783424695
16,0.7381682223168679,0.3968721956162851,0.0846651563897423,0.007118909915797237,0.007118909915797237,0|35|3|10.71338651|8.817826403
17,0.5347044014407022,0.3040318565256664,0.08012676633617348,0.002575594236472309,0.002575594236472309,1|15|3|9.909893084|7.430869627
18,0.6871359396968753,0.3619712353075269,0.0846651563897423,0.007118909915797237,0.007118909915797237,1|35|4|10.509775|9.767290131
19,0.5347044014407022,0.28110865774056265,0.06723323723514399,0.0033386621725223823,0.0033386621725223823,1|16|5|10.215533|7.730255858
20,0.22630030185331143,0.21182375368772582,0.09350204955048656,0.010627212730244761,0.010627212730244761,7|15|4|15.06659378|10.79590938
21,0.5621843415129298,0.30822186154111364,0.08219387579951472,0.002575594236472309,0.002575594236472309,1|8|3|9.550746785|6.980023448
22,0.5527388185106462,0.36062637506630946,0.1062334798521336,0.013330350194885675,0.013330350194885675,2|32|5|11.98156728|9.663789749
23,0.22213500371314907,0.21265780772414491,0.14044984478630587,0.04701410162387784,0.04701410162387784,7|8|5|15.31603399|7.679359363
24,0.2299100348598974,0.2361250043480488,0.16303170001465325,0.01892245229518764,0.01892245229518764,4|22|4|12.84979602|10.55821909
25,0.22213500371314907,0.28079669112174344,0.12551051411044636,0.01593589938165038,0.01593589938165038,8|7|3|15.10328781|10.52989738
26,0.5488677296515702,0.3619838794660654,0.08922967297557662,0.0027232670427042973,0.0027232670427042973,2|19|4|10.92407019|8.752437003
27,0.6169146949237778,0.34185916064213817,0.15149256434349626,0.002486096182103344,0.002486096182103344,1|22|4|10.32305476|8.210060462
28,0.19109771597905176,0.1496505185091283,0.1668729436623926,0.023094220941289566,0.023094220941289566,5|25|4|13.84960057|11.60519175
29,0.22213500371314907,0.2124305304850851,0.1078529899763504,0.021947695918070907,0.021947695918070907,8|8|3|15.23032072|10.96473646
30,0.4049845308503511,0.4606456602471897,0.06065028949194584,0.0030669744252077628,0.0030669744252077628,3|2|5|9.668884984|6.792616241
