row_id,b0,b1,b2,b3,b4,raw_val
0,0.12089801945224705,0.0726411938985756,0.07237413713406185,0.04130942301217112,0.011908743789858562,fairy dress|Pink|No|3640|910|Pink|Pink|1x1|Able Sisters|Available from Able Sisters shop only|All Year|No|1.0.0|Cute|fairy tale; party; theatrical|Yes|For sale|Balloon|N|TopsTexOnepieceBalloonNFairy1|8127|9Kj4vNdGKtwKdHSPX
1,0.08701776235876406,0.0613377328419431,0.06644420954341484,0.046999997622179095,0.015365846918404834,pinafore|Dark blue|No|1600|400|Blue|White|1x1|Able Sisters|Available from Able Sisters shop only|All Year|No|1.0.0|Simple|everyday; work|Yes|For sale|B-long|L|TopsTexOnepieceBlongLKappogi0|3536|7dS6vs5tkrSPazK5R
2,0.10750888099009333,0.07316178021095882,0.061704044970482735,0.03089564492271314,0.015312448096943362,sunflower dress|Orange|No|1500|375|Orange|Yellow|1x1|Able Sisters|Available from either Mable's temporary shop or Able Sisters shop|Summer|No|1.0.0|Cute|everyday; fairy tale; vacation|Yes|For sale|Balloon|N|TopsTexOnepieceBalloonNSunflower1|9428|pzCD5hEGe97653ZKB
3,0.09173862143627194,0.09515283155933095,0.09066255644180181,0.04595406847853221,0.011736587041469265,ballet outfit|Black|No|2880|720|Black|Yellow|1x1|Able Sisters|Available from Able Sisters shop only|All Year|No|1.0.0|Cute|fairy tale; sporty; theatrical; work|Yes|For sale|Balloon|N|TopsTexOnepieceBalloonNBallet4|9415|cZuKQFyeLymFGDngJ
4,0.0868610330242901,0.09522282981283384,0.09020940642222139,0.036506134195560674,0.016163607680094026,magical dress|Red|No|3180|795|Red|White|1x1|Able Sisters|Available from Able Sisters shop only|All Year|No|1.0.0|Cute|fairy tale; theatrical|Yes|For sale|Balloon|H|TopsTexOnepieceBalloonHMagical4|8695|G9LgQDtBWTyfM6Evh
5,0.10064951275560029,0.08055139130480425,0.07692423257636191,0.04942498048512058,0.013425181586061825,hakama|Dark blue|No|3180|795|Blue|Green|1x1|Able Sisters|Available from Able Sisters shop only|All Year|No|1.0.0|Elegant|formal; party|Yes|For sale|Kimono|L|TopsTexOnepieceKimonoLHakama2|8983|T3fRzhvCTyCKH5zdf
6,0.09998908359462463,0.060316831654405864,0.06333182695456277,0.04464285893189466,0.013700457537417486,jinbei|Fuchsia|No|1820|455|Purple|Purple|1x1|Able Sisters|Available from Able Sisters shop only|All Year|No|1.0.0|Simple|comfy; vacation|Yes|For sale|Overall|H|TopsTexOnepieceOverallHJinbei1|9205|MmvaR652A39C54ZJb
7,0.08418056652834766,0.07722869810061182,0.08591220560501607,0.04665583348310987,0.010015249553300668,sleeveless silk dress|Red|No|2520|630|Red|Yellow|1x1|Able Sisters|Available from Able Sisters shop only|All Year|No|1.0.0|Elegant|everyday; formal; party|Yes|For sale|B-long||TopsTexOnepieceBlongLChina0|5131|BTiKJBRTf3xmK85DQ
8,0.11191515039243054,0.07222332793733637,0.0836282406874905,0.05026904560164199,0.02350053627339961,long pleather coat|Purple|No|1840|460|Purple|Purple|1x1|Able Sisters|Available from either Mable's temporary shop or Able Sisters shop|Winter|No|1.0.0|Cool|everyday; formal; goth|Yes|For sale|A-long|L|TopsTexOnepieceAlongLLeathercoat1|9301|JcQu3bnBv6LkCwsQ4
9,0.07819376546085374,0.07036402797634422,0.0651815705095629,0.04110514904867787,0.022469146897331527,mage's robe|Black|No|4000|1000|Black|Purple|1x1|Able Sisters|Available from Able Sisters shop only|All Year|No|1.0.0|Cool|fairy tale; goth|Yes|For sale|A-long|L|TopsTexOnepieceAlongLWitch0|3492|QwzceQyaejrnjuKeo
10,0.08862715309145087,0.08851259317110612,0.08644438294635375,0.044471886353650285,0.01205383465317105,ballet outfit|Yellow|No|2880|720|Yellow|Yellow|1x1|Able Sisters|Available from Able Sisters shop only|All Year|No|1.0.0|Cute|fairy tale; sporty; theatrical; work|Yes|For sale|Balloon|N|TopsTexOnepieceBalloonNBallet6|9417|wFeRZDBHF9PmpaH8q
11,0.10730830087167745,0.09125378852107315,0.0895130615039114,0.047021287824376146,0.01061681363292299,dollhouse dress|Red|No|2800|700|Red|White|1x1|Able Sisters|Available from Able Sisters shop only|Summer|No|1.0.0|Cute|fairy tale; party; theatrical; vacation; work|Yes|For sale|Balloon|N|TopsTexOnepieceBalloonNIdleeightys1|9422|BDSc5CdamR8Dj4wY9
12,0.1140190322074447,0.07148437305193504,0.0662139176005485,0.04007259678285974,0.019194618418802257,kabuki-actor yukata|Dark blue|No|2400|600|Blue|Beige|1x1|Able Sisters|Available from Able Sisters shop only|Summer|No|1.0.0|Elegant|comfy; theatrical; vacation|Yes|For sale|Kimono|L|TopsTexOnepieceKimonoLYukatamen1|9219|jLEqduufA6tZzq4wN
13,0.10303409425530682,0.058413196319847295,0.05949210929727248,0.049285775595491556,0.017925139349523313,concierge uniform|Red|No|1920|480|Red|Blue|1x1|Able Sisters|Available from Able Sisters shop only|All Year|No|1.0.0|Simple|formal; work|Yes|For sale|Overall|L|TopsTexOnepieceOverallLHotel1|7445|hgCf3aRj5gYBjTA5M
14,0.10587266191839323,0.08889870117054524,0.07599315924975322,0.047092843424232436,0.00999935300219826,tango dress|Pink|No|2600|650|Pink|Pink|1x1|Able Sisters|Available from Able Sisters shop only|All Year|No|1.0.0|Gorgeous|party; theatrical|Yes|For sale|Box|N|TopsTexOnepieceBoxNTango2|7882|zZxLfPRGQtZN4suEN
15,0.10491032452303234,0.08350815932983978,0.08581892813868197,0.05692987022954107,0.012922067320490989,rumba costume|Pink|No|2600|650|Pink|Light blue|1x1|Able Sisters|Available from Able Sisters shop only|All Year|No|1.0.0|Elegant|party; theatrical|Yes|For sale|Salopette|L|TopsTexOnepieceSalopetteLRumba2|11579|RnKWKPvRLb2gXbK5C
16,0.10677871530360522,0.0686675383179453,0.06689252999608122,0.0386561783930575,0.009666529241334041,pintuck-pleated dress|Lime|No|1600|400|Yellow|Orange|1x1|Able Sisters|Available from either Mable's temporary shop or Able Sisters shop|Summer|No|1.0.0|Cute|everyday; fairy tale|Yes|For sale|Balloon|H|TopsTexOnepieceBalloonHDolly1|8885|2genTxQ5NgTbqgSii
17,0.1014166810980257,0.07610366889352475,0.07920626690694164,0.04319893542009608,0.017624331959948634,cheerleading uniform|Pink|No|1920|480|Black|Pink|1x1|Able Sisters|Available from Able Sisters shop only|All Year|No|1.0.0|Active|sporty; theatrical|Yes|For sale|A-line|N|TopsTexOnepieceAlineNCheer5|9369|QpEGE87fwiWRrXF2g
