row_id,b0,b1,b2,b3,b4,raw_val
0,0.10360103300256455,0.09435516479708579,0.11586487503743398,0.10597987561379527,0.09668367088201049,29|No|Travel_Rarely|441|Research & Development|8|1|Other|1|1544|3|Female|39|1|2|Healthcare Representative|1|Married|9715|7288|3|Y|No|13|3|3|80|1|9|3|3|7|7|0|7
1,0.1391453858338099,0.10439226753872624,0.06101209400752522,0.1270761196683883,0.1858440255583528,45|No|Travel_Rarely|193|Research & Development|6|4|Other|1|101|4|Male|52|3|3|Research Director|1|Married|13245|15067|4|Y|Yes|14|3|2|80|0|17|3|4|0|0|0|0
2,0.10203868248270113,0.042034843311969695,0.022758513351418503,0.03685966572599972,0.022663141245761687,30|Yes|Travel_Frequently|600|Human Resources|8|3|Human Resources|1|1747|3|Female|66|2|1|Human Resources|4|Divorced|2180|9732|6|Y|No|11|3|3|80|1|6|0|2|4|2|1|2
3,0.19385813520084327,0.12247680056302218,0.13060280937373206,0.13530137439490939,0.10602835621390208,52|Yes|Travel_Rarely|723|Research & Development|8|4|Medical|1|433|3|Male|85|2|2|Research Scientist|2|Married|4941|17747|2|Y|No|15|3|1|80|0|11|3|2|8|2|7|7
4,0.11642584084076021,0.1299711559676971,0.16358703009097955,0.14938945988313315,0.1320006847415116,46|No|Travel_Rarely|717|Research & Development|13|4|Life Sciences|1|1727|3|Male|34|3|2|Healthcare Representative|2|Single|5562|9697|6|Y|No|14|3|4|80|0|19|3|3|10|7|0|9
5,0.09506669831200387,0.10721620417142581,0.13236041590174968,0.1025948637685172,0.09175760704680627,44|No|Travel_Rarely|1112|Human Resources|1|4|Life Sciences|1|665|1|Female|50|2|2|Human Resources|3|Single|5985|26894|4|Y|No|11|3|2|80|0|10|1|4|2|2|0|2
6,0.21706869320219258,0.13457217973898122,0.1388574503214827,0.18801715973320926,0.22734014447211412,48|No|Travel_Rarely|1355|Research & Development|4|4|Life Sciences|1|1024|3|Male|78|2|3|Healthcare Representative|3|Single|10999|22245|7|Y|No|14|3|2|80|0|27|3|3|15|11|4|8
7,0.16312262259230942,0.07696874804689806,0.09480892009129827,0.07005159838973436,0.09286572431979856,29|No|Travel_Rarely|1082|Research & Development|9|4|Medical|1|1709|4|Female|43|3|1|Laboratory Technician|3|Married|2974|25412|9|Y|No|17|3|3|80|1|9|2|3|5|3|1|2
8,0.2166249048158812,0.16896442969418252,0.17086615023681548,0.192431691388091,0.21895033717882015,54|No|Travel_Frequently|966|Research & Development|1|4|Life Sciences|1|1245|4|Female|53|3|3|Manufacturing Director|3|Divorced|10502|9659|7|Y|No|17|3|1|80|1|33|2|1|5|4|1|4
9,0.12491498210324924,0.10707089611283539,0.06070416451943002,0.03336280747087195,0.008353117744892682,59|No|Travel_Rarely|818|Human Resources|6|2|Medical|1|321|2|Male|52|3|1|Human Resources|3|Married|2267|25657|8|Y|No|17|3|4|80|0|7|2|2|2|2|2|2
10,0.1824688498797317,0.1076140779602586,0.06799723209492434,0.13620220060195692,0.105726940044062,37|No|Travel_Rarely|977|Research & Development|1|3|Life Sciences|1|1196|4|Female|56|2|2|Manufacturing Director|4|Married|6474|9961|1|Y|No|13|3|2|80|1|14|2|2|14|8|3|11
11,0.13619565127915964,0.04139597661303816,0.041703092029545745,0.041264174759563885,0.039948250925225186,34|No|Travel_Rarely|1400|Sales|9|1|Life Sciences|1|1163|2|Female|70|3|2|Sales Executive|3|Married|5714|5829|1|Y|No|20|4|1|80|0|6|3|2|6|5|1|3
12,0.1873973075737133,0.10462178692618852,0.11116500241154945,0.14296037444006962,0.09313572681679776,53|No|Travel_Rarely|1070|Research & Development|3|4|Medical|1|386|3|Male|45|3|4|Research Director|3|Married|17584|21016|3|Y|Yes|16|3|4|80|3|21|5|2|5|3|1|3
13,0.2319579155708544,0.09650195902505883,0.11006992033111866,0.092635782036473,0.042703538510363855,34|No|Travel_Rarely|943|Research & Development|9|3|Life Sciences|1|1344|4|Male|86|3|3|Healthcare Representative|4|Divorced|8500|5494|0|Y|No|11|3|4|80|1|10|0|2|9|7|1|6
14,0.13102044752744038,0.12246224837809802,0.12911231357333086,0.14424445245770437,0.18548509895312368,37|No|Travel_Rarely|558|Sales|2|3|Marketing|1|656|4|Male|75|3|2|Sales Executive|3|Married|9602|3010|4|Y|Yes|11|3|3|80|1|17|3|2|3|0|1|0
15,0.17930244960876762,0.11003998221255647,0.11502471283265756,0.118282152587773,0.08660176046328882,54|No|Travel_Rarely|376|Research & Development|19|4|Medical|1|799|4|Female|95|3|2|Manufacturing Director|1|Divorced|5485|22670|9|Y|Yes|11|3|2|80|2|9|4|3|5|3|1|4
16,0.09840471115064318,0.09607152046160025,0.051567895421107124,0.047386997209468214,0.04902284857135761,36|No|Travel_Rarely|188|Research & Development|7|4|Other|1|949|2|Male|65|3|1|Research Scientist|4|Single|4678|23293|2|Y|No|18|3|3|80|0|8|6|3|6|2|0|1
17,0.21029044165490993,0.1356621520128041,0.08685595511921687,0.09063272574461775,0.057653082481245205,36|No|Travel_Frequently|1467|Sales|11|2|Technical Degree|1|154|2|Female|92|3|3|Sales Executive|4|Married|9738|22952|0|Y|No|14|3|3|80|1|10|6|3|9|7|2|8
18,0.28326626254671755,0.20634528126236096,0.11951510326334928,0.08031574280867941,0.056653050040662956,41|No|Travel_Rarely|314|Human Resources|1|3|Human Resources|1|734|4|Male|59|2|5|Manager|3|Married|19189|19562|1|Y|No|12|3|2|80|1|22|3|3|22|7|2|10
19,0.1762818692421888,0.09024739281457772,0.15023210485203586,0.08205676306773012,0.12349130872022608,35|No|Non-Travel|1097|Research & Development|11|2|Medical|1|70|3|Male|79|2|3|Healthcare Representative|1|Married|9884|8302|2|Y|Yes|13|3|3|80|1|10|3|3|4|0|2|3
20,0.12865708798795597,0.022022526926552047,0.004413153024093794,0.006942052043611064,0.007950048988721864,31|Yes|Travel_Rarely|202|Research & Development|8|3|Life Sciences|1|1433|1|Female|34|2|1|Research Scientist|2|Single|1261|22262|1|Y|No|12|3|3|80|0|1|3|4|1|0|0|0
21,0.2228474232708676,0.13180810546925847,0.08703922838456857,0.04738846232376084,0.0609743293391457,49|No|Travel_Frequently|279|Research & Development|8|1|Life Sciences|1|2|3|Male|61|2|2|Research Scientist|2|Married|5130|24907|1|Y|No|23|4|4|80|1|10|3|3|10|7|1|7
22,0.20971887207682155,0.18050891959667284,0.18441265065926868,0.17877210307042943,0.13327027914524023,29|No|Travel_Rarely|1107|Research & Development|28|4|Life Sciences|1|1120|3|Female|93|3|1|Research Scientist|4|Divorced|2514|26968|4|Y|No|22|4|1|80|1|11|1|3|7|5|1|7
23,0.2241874696679965,0.13611604843285138,0.13423822701388627,0.11559173574820034,0.1155111268769873,46|Yes|Travel_Rarely|377|Sales|9|3|Marketing|1|1457|1|Male|52|3|3|Sales Executive|4|Divorced|10096|15986|4|Y|No|11|3|1|80|1|28|1|4|7|7|4|3
24,0.15145951617321943,0.10024833579964688,0.1241864738255918,0.08535521409563832,0.07235929424051966,28|No|Travel_Rarely|760|Sales|2|4|Marketing|1|846|2|Female|81|3|2|Sales Executive|2|Married|4779|3698|1|Y|Yes|20|4|1|80|0|8|2|3|8|7|7|5
25,0.24062553550026428,0.14432663625538383,0.13990814421606382,0.16779540910179702,0.1643653515048371,56|No|Travel_Rarely|1369|Research & Development|23|3|Life Sciences|1|1373|4|Male|68|3|4|Manufacturing Director|2|Married|13402|18235|4|Y|Yes|12|3|1|80|1|33|0|3|19|16|15|9
26,0.21906212809381137,0.09757650899715346,0.06438166262023876,0.149624250114245,0.07255209585174908,57|No|Travel_Rarely|210|Sales|29|3|Marketing|1|568|1|Male|56|2|4|Manager|4|Divorced|14118|22102|3|Y|No|12|3|3|80|1|32|3|2|1|0|0|0
27,0.12236036390244544,0.040119819578354525,0.04156364696525437,0.04497228027347,0.036590177217590045,25|No|Travel_Rarely|1382|Sales|8|2|Other|1|2018|1|Female|85|3|2|Sales Executive|3|Divorced|4907|13684|0|Y|Yes|22|4|2|80|1|6|3|2|5|3|0|4
28,0.21817757163192567,0.11593378935867524,0.08445175926005379,0.08527557103182458,0.04570071425496884,31|No|Travel_Rarely|1062|Research & Development|24|3|Medical|1|1252|3|Female|96|2|2|Healthcare Representative|1|Single|6812|17198|1|Y|No|19|3|2|80|0|10|2|3|10|9|1|8
29,0.1370139137983516,0.15812668078428344,0.1671738441447435,0.19428966568426212,0.19492942540906535,38|No|Travel_Rarely|201|Research & Development|10|3|Medical|1|2015|2|Female|99|1|3|Research Director|3|Married|13206|3376|3|Y|No|12|3|1|80|1|20|3|3|18|16|1|11
30,0.10610265907710265,0.14221465773661518,0.10148177626012067,0.11130030556004374,0.11038719334877256,44|No|Travel_Rarely|986|Research & Development|8|4|Life Sciences|1|874|1|Male|62|4|1|Laboratory Technician|4|Married|2818|5044|2|Y|Yes|24|4|3|80|1|10|2|2|3|2|0|2
31,0.21660314583336196,0.1685758943936689,0.17454658808053247,0.12250022938105636,0.1511577294489044,40|No|Travel_Rarely|898|Human Resources|6|2|Medical|1|1550|3|Male|38|3|4|Manager|4|Single|16437|17381|1|Y|Yes|21|4|4|80|0|21|2|3|21|7|7|7
32,0.11321827228021067,0.08477173705975247,0.09073413780204781,0.08337799905918335,0.04889640410882568,41|No|Travel_Rarely|918|Sales|6|3|Marketing|1|1708|4|Male|35|3|3|Sales Executive|3|Single|9241|15869|1|Y|No|12|3|2|80|0|10|3|3|10|8|8|7
