row_id,b0,b1,b2,b3,b4,raw_val
0,0.24611457016692975,0.2255885023267089,0.19476221710071584,0.21770067042586874,0.13398878741554077,Sudan|2010|Developing|62.5|243|62|1.77|172.0097884|75|680|38.32124656|92|9|7.97|9|0.3|1476.47887|34385963|4.839703857|4.870316804|0.461|7
1,0.24635407070755558,0.1090883278726353,0.08019779074816828,0.07924365362301762,0.08441664910259425,Peru|2013|Developing|75.3|125|8|5.38|946.6521165|88|0|54.2|11|71|5.23|88|0.1|6583.116248|3565716|1.1|1.1|0.731|13.4
2,0.29310002427963516,0.22059453244846944,0.1649010004067119,0.10962266659153887,0.14267839147056524,Indonesia|2007|Developing|67.5|19|154|0.06|102.633435|76|19456|2.5|188|77|3.1|73|0.2|1855.93915|232989141|1.8|1.7|0.638|11
3,0.38423747829155086,0.16958844884734336,0.2690067921371268,0.2608350747673312,0.2748663816946261,Ireland|2006|Developed|79|78|0|13.44|9126.931178|80.94046122|87|55.8|0|91|7.22|91|0.1|54326.9713|4273591|0.3|0.2|0.896|17.6
4,0.1927430237149457,0.12471644449620656,0.12425022052806835,0.13690494745970486,0.09629435792426966,Niger|2011|Developing|59.4|241|50|0.15|32.22493445|75|771|17.7|93|4|6.66|75|0.7|375.5819866|1764636|1.5|1.3|0.323|4.8
5,0.27961627099377223,0.28546530198894166,0.15513013023751415,0.03916816553711329,0.017988396979619722,Côte d'Ivoire|2005|Developing|48.7|466|63|3.11|0|76|115|22.1|90|87|5.39|76|6.1|7483.158469|12753375.12|7.2|7.1|0.627551065|11.99279279
6,0.25831877748862253,0.14241692189688282,0.14048790153953825,0.11630748468112471,0.1029944181447626,Sri Lanka|2006|Developing|73.8|145|4|1.96|120.2471713|98|0|17.2|5|98|4.6|98|0.1|1448.7611|1952|15.4|15.5|0.718|13.1
7,0.28370726513836775,0.14806679557399938,0.1326889615714332,0.08904930803110302,0.06444190682783969,China|2009|Developing|74.9|93|248|4.88|50.28348923|99|52461|27.3|288|99|5.8|99|0.1|3838.434292|133126|4.4|3.8|0.682|12.2
8,0.2972795499868625,0.23386391438391113,0.3402375464370473,0.31713496190941204,0.21969561787317898,Grenada|2006|Developing|71.7|167|0|9.06|662.2663687|91|0|41.1|0|91|5.99|91|0.1|6764.722867|12753375.12|3.9|3.9|0|15.1
9,0.21519914890474748,0.08925185083543655,0.08164258144598698,0.05403393308727153,0.026362381355471618,Austria|2007|Developed|81|8|0|12.5|7453.8644|85|20|53.7|0|85|1.4|85|0.1|46586.6525|8295487|1.7|1.9|0.86|15.2
10,0.3911838873384665,0.22495515921494563,0.3525745934610989,0.1683203720161625,0.18051211591799907,Slovenia|2015|Developed|88|74|0|4.602860787|0|80.94046122|18|6.1|0|95|5.938189528|95|0.1|2729.86383|263531|1.4|1.3|0.888|17.3
11,0.3526347587194653,0.3042513789364924,0.2043768905490509,0.15713355537002588,0.08232047738610362,Libya|2006|Developing|72.2|134|2|0.01|493.415341|98|1|56.7|3|98|2.51|98|0.1|9344.987518|12753375.12|5.5|5.4|0.752|15.4
12,0.2874657307473647,0.3241288373299222,0.43663509449844007,0.3537016956969691,0.32809911397332775,Grenada|2003|Developing|71.1|173|0|9.75|77.9454329|97|0|39.4|0|98|5.89|97|0.1|5773.73577|12753375.12|4|4.1|0|14.6
13,0.29474467183349257,0.254347318474242,0.1736993061402997,0.11207071154442344,0.05624916464625528,Indonesia|2009|Developing|67.9|189|143|0.08|125.7980678|82|20818|22.1|174|85|2.83|78|0.3|2254.44566|23934478|1.7|1.6|0.645|11.7
14,0.2909482789415277,0.26163068292073566,0.1949250743308499,0.1311347753447448,0.11434030170965147,Congo|2008|Developing|59.4|338|8|2.58|0|73|2|23.3|11|77|2.9|79|4.3|7483.158469|12753375.12|8.4|8|0.527|10
15,0.3154259268595863,0.3427275620824406,0.4038189260539597,0.4712363917492352,0.34457379748965516,Estonia|2000|Developing|78|218|0|0.01|5.34809451|80.94046122|9|54|0|93|5.28|93|0.1|47.32827|1396985|2.5|2.5|0.764|14.4
