dataset,near,xploit,xplor,adapt,bore,random
7z,76,2,10,6,6,6
A2C_Acrobot,43,44,55,51,43,51
A2C_CartPole,43,22,15,16,24,16
Apache_AllMeasurements,61,65,48,43,55,43
BDBC,95,1,0,0,4,0
BankChurners,27,14,39,12,8,12
Car_price_cleaned,95,40,41,39,41,39
Data_COVID19_Indonesia,98,1,0,1,0,1
FFM-1000-200-0.50-SAT-1,47,4,21,26,2,26
FFM-125-25-0.50-SAT-1,81,3,1,14,1,14
FFM-250-50-0.50-SAT-1,50,3,18,14,15,14
FFM-500-100-0.50-SAT-1,50,10,15,23,2,23
FM-500-100-0.25-SAT-1,40,10,22,19,9,19
FM-500-100-0.50-SAT-1,30,0,40,28,2,28
FM-500-100-0.75-SAT-1,64,2,17,14,3,14
FM-500-100-1.00-SAT-1,61,7,21,7,5,7
HSMGP_num,87,0,3,10,0,10
HSQLDB,80,0,0,20,0,20
Health-ClosedIssues0000,84,5,9,2,0,2
Health-ClosedIssues0001,94,0,0,3,3,3
Health-ClosedIssues0002,100,0,0,0,0,0
Health-ClosedIssues0003,98,0,0,2,0,2
Health-ClosedIssues0004,89,4,5,1,1,1
Health-ClosedIssues0005,100,0,0,0,0,0
Health-ClosedIssues0006,50,8,35,5,2,5
Health-ClosedIssues0007,59,18,3,14,7,14
Health-ClosedIssues0008,69,15,4,10,2,10
Health-ClosedIssues0009,82,0,14,4,0,4
Health-ClosedIssues0010,69,0,27,2,2,2
Health-ClosedIssues0011,81,2,14,0,3,0
Health-ClosedPRs0000,100,0,0,0,0,0
Health-ClosedPRs0002,100,0,0,0,0,0
Health-ClosedPRs0003,100,0,0,0,0,0
Health-ClosedPRs0004,78,1,16,2,3,2
Health-ClosedPRs0005,100,0,0,0,0,0
Health-ClosedPRs0006,42,1,14,1,42,1
Health-ClosedPRs0007,36,5,37,6,16,6
Health-ClosedPRs0008,86,3,0,8,3,8
Health-ClosedPRs0009,89,1,7,0,3,0
Health-ClosedPRs0010,89,5,4,1,2,1
Health-ClosedPRs0011,100,0,0,0,0,0
Health-Commits0000,93,3,4,0,0,0
Health-Commits0001,100,0,0,0,0,0
Health-Commits0002,66,33,1,0,0,0
Health-Commits0003,79,0,8,9,4,9
Health-Commits0004,82,1,8,5,4,5
Health-Commits0005,38,17,0,2,43,2
Health-Commits0006,100,0,0,0,0,0
Health-Commits0007,17,11,48,22,2,22
Health-Commits0008,22,15,4,37,22,37
Health-Commits0009,86,3,10,1,0,1
Health-Commits0010,98,0,0,2,0,2
Health-Commits0011,77,0,12,11,0,11
LLVM,75,8,2,5,10,5
Life_Expectancy_Data,82,2,4,3,9,3
Loan,56,20,6,6,12,6
Marketing_Analytics,29,15,4,32,20,32
Medical_Data_and_Hospital_Readmissions,16,18,20,32,14,32
PostgreSQL,64,30,0,0,6,0
SQL_AllMeasurements,17,5,46,30,2,30
SS-A,12,36,26,19,7,19
SS-B,70,53,42,42,49,42
SS-C,81,13,0,4,3,4
SS-D,74,52,50,46,46,46
SS-E,48,25,3,2,22,2
SS-F,63,68,42,42,53,42
SS-G,75,53,47,42,52,42
SS-H,51,37,47,23,35,23
SS-I,39,0,35,26,0,26
SS-J,20,41,17,6,17,6
SS-K,75,5,19,1,1,1
SS-L,100,0,0,0,0,0
SS-M,82,0,18,0,0,0
SS-N,45,1,45,8,1,8
SS-O,89,1,4,6,0,6
SS-P,96,2,0,0,2,0
SS-Q,100,0,0,0,0,0
SS-R,98,0,0,1,1,1
SS-S,36,21,8,9,26,9
SS-T,83,0,14,0,3,0
SS-U,91,0,6,3,0,3
SS-V,90,1,0,0,9,0
SS-W,40,18,13,17,12,17
SS-X,95,0,1,4,0,4
Scrum100k,49,9,14,9,19,9
Scrum10k,74,2,7,6,11,6
Scrum1k,43,2,14,31,10,31
WA_Fn-UseC_-HR-Employee-Attrition,65,7,11,6,11,6
WA_Fn-UseC_-Telco-Customer-Churn,94,5,0,0,1,0
Wine_quality,20,25,27,17,11,17
X264_AllMeasurements,96,0,1,3,0,3
accessories,4,33,35,30,0,30
all_players,36,12,17,20,15,20
auto93,39,4,12,37,8,37
billing10k,65,10,5,19,1,19
coc1000,34,13,23,22,8,22
dataset120,33,8,19,40,1,40
dataset600,13,23,36,13,15,13
dconvert,77,4,1,0,18,0
deeparch,77,5,6,1,11,1
dress-up,19,0,0,16,65,16
exastencils,32,8,38,14,8,14
home_data_for_ml_course,37,2,15,7,45,7
javagc,46,3,28,23,0,23
nasa93dem,81,73,81,73,84,73
player_statistics_cleaned_final,79,82,81,83,79,83
pom3a,13,27,25,26,9,26
pom3b,16,25,25,23,13,23
pom3c,33,24,14,16,13,16
pom3d,37,15,19,15,14,15
redis,35,9,30,17,9,17
rs-6d-c3_obj1,84,0,9,7,0,7
rs-6d-c3_obj2,6,10,60,14,10,14
socks,91,6,1,1,1,1
sol-6d-c2-obj1,38,5,28,10,19,10
storm,18,16,31,11,24,11
student_dropout,100,87,69,67,69,67
wallpaper,59,26,29,26,64,26
wc+rs-3d-c4-obj1,46,52,44,45,81,45
wc+sol-3d-c4-obj1,44,88,45,44,47,44
wc+wc-3d-c4-obj1,43,65,52,43,65,43
wc-6d-c1-obj1,25,16,38,19,2,19
x264,83,3,7,7,0,7
xomo_flight,47,1,18,10,24,10
xomo_ground,49,3,24,9,15,9
xomo_osp,61,8,6,18,7,18
xomo_osp2,17,13,23,17,30,17
